region,filiere_globale,code_eic_centrale,capacite_installee,capacite_disponible,capacite_indisponible,date,date_debut
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 14:00:00,2013-07-25 14:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 14:30:00,2013-07-25 14:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 15:00:00,2013-07-25 15:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 15:30:00,2013-07-25 15:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 16:00:00,2013-07-25 16:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 16:30:00,2013-07-25 16:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 17:00:00,2013-07-25 17:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 17:30:00,2013-07-25 17:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 18:00:00,2013-07-25 18:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 18:30:00,2013-07-25 18:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 19:00:00,2013-07-25 19:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 19:30:00,2013-07-25 19:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 20:00:00,2013-07-25 20:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 20:30:00,2013-07-25 20:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 21:00:00,2013-07-25 21:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 21:30:00,2013-07-25 21:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 22:00:00,2013-07-25 22:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 22:30:00,2013-07-25 22:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 23:00:00,2013-07-25 23:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-25 23:30:00,2013-07-25 23:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 00:00:00,2013-07-26 00:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 00:30:00,2013-07-26 00:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 01:00:00,2013-07-26 01:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 01:30:00,2013-07-26 01:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 02:00:00,2013-07-26 02:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 02:30:00,2013-07-26 02:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 03:00:00,2013-07-26 03:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 03:30:00,2013-07-26 03:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 04:00:00,2013-07-26 04:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 04:30:00,2013-07-26 04:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 05:00:00,2013-07-26 05:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 05:30:00,2013-07-26 05:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 06:00:00,2013-07-26 06:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 06:30:00,2013-07-26 06:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 07:00:00,2013-07-26 07:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 07:30:00,2013-07-26 07:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 08:00:00,2013-07-26 08:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 08:30:00,2013-07-26 08:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 09:00:00,2013-07-26 09:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 09:30:00,2013-07-26 09:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 10:00:00,2013-07-26 10:00:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 10:30:00,2013-07-26 10:30:00
GRAND EST,hydraulique,17W100P100P0077A,202.0,0.0,202.0,2013-07-26 11:00:00,2013-07-26 11:00:00
