,region,date_debut,date_fin_previsionnelle,filiere_globale,code_eic_centrale,capacite_installee,capacite_disponible,capacite_indisponible
14,CENTRE VAL DE LOIRE,2013-01-02 23:00:00,2013-01-03 23:00:00,nucleaire,17W100P100P0148D,915.0,0.0,915.0
15,NORMANDIE,2013-01-02 05:00:00,2013-01-02 15:00:00,nucleaire,17W100P100P0127L,1330.0,1129.0,201.0
16,AUVERGNE RHONE ALPES,2013-01-03 11:00:00,2013-01-03 22:00:00,nucleaire,17W100P100P0153K,915.0,0.0,915.0
17,AUVERGNE RHONE ALPES,2013-01-02 22:00:00,2013-01-03 05:00:00,nucleaire,17W100P100P0153K,915.0,530.0,385.0
18,NORMANDIE,2013-01-03 02:15:00,2013-01-03 22:20:00,thermique,17W100P100P0023X,580.0,0.0,580.0
19,GRAND EST,2013-01-03 08:02:00,2013-01-03 10:00:00,thermique,17W100P100P0005Z,595.0,450.0,145.0
20,AUVERGNE RHONE ALPES,2013-01-04 00:04:00,2013-01-04 01:10:00,hydraulique,17W100P100P0057G,259.0,0.0,259.0
21,CENTRE VAL DE LOIRE,2013-01-04 01:00:00,2013-01-04 05:20:00,nucleaire,17W100P100P0148D,915.0,0.0,915.0
22,NORMANDIE,2013-01-04 22:35:00,2013-01-14 05:00:00,thermique,17W100P100P0023X,580.0,0.0,580.0
23,AUVERGNE RHONE ALPES,2013-01-04 04:00:00,2013-01-04 12:00:00,nucleaire,17W100P100P0149B,915.0,530.0,385.0
24,GRAND EST,2013-01-05 01:48:00,2013-01-05 03:13:00,hydraulique,17W100P100P0077A,202.0,0.0,202.0
25,AUVERGNE RHONE ALPES,2013-01-05 17:00:00,2013-01-06 01:00:00,nucleaire,17W100P100P0153K,915.0,510.0,405.0
26,PAYS DE LA LOIRE,2013-01-05 22:00:00,2013-01-08 00:00:00,thermique,17W100P100P0034S,685.0,0.0,685.0
27,NORMANDIE,2013-01-06 23:50:00,2013-01-07 07:55:00,thermique,17W100P100P0022Z,585.0,0.0,585.0
28,GRAND EST,2013-01-06 04:00:00,2013-01-07 10:00:00,nucleaire,17W100P100P0104X,1300.0,660.0,640.0
29,GRAND EST,2013-01-06 10:00:00,2013-01-06 11:00:00,nucleaire,17W100P100P0137I,1310.0,750.0,560.0
30,GRAND EST,2013-01-06 11:00:00,2013-01-06 12:30:00,nucleaire,17W100P100P0137I,1310.0,880.0,430.0
31,HAUTS DE FRANCE,2013-01-06 17:50:00,2013-01-06 19:50:00,nucleaire,17W100P100P0132S,910.0,390.0,520.0
