region,date_heure,annee,jour_numero,heure,jour_fractionnel,thermique,nucleaire,eolien,solaire,hydraulique,bioenergies,pompage,ech_physiques,stockage_batterie,destockage_batterie,cap_prod_max_thermique,thermique_p_disp,cap_prod_max_nucleaire,nucleaire_p_disp,eolien_p_disp,solaire_p_disp,cap_prod_max_hydraulique,hydraulique_p_disp,cap_prod_max_bioenergies,bioenergies_p_disp,population
NORMANDIE,2021-08-27 03:00:00,2021,239,03:00:00,239.12,184.0,7535.0,166.0,0.0,7.0,68.0,0.0,-5771.0,0.0,0.0,852.0,852.0,10640.0,9602.0,878.0,297.0,31.0,31.0,147.0,147.0,3327966
NORMANDIE,2017-06-03 06:00:00,2017,154,06:00:00,154.25,176.0,4839.0,60.0,0.0,14.0,44.0,0.0,-3077.0,0.0,0.0,785.0,205.0,10640.0,9442.0,622.0,222.0,31.0,31.0,98.0,98.0,3330478
BRETAGNE,2013-08-27 13:30:00,2013,239,13:30:00,239.56,0.0,0.0,33.0,75.0,4.0,26.0,-42.0,2345.0,0.0,0.0,665.0,665.0,0.0,0.0,722.0,206.0,11.0,11.0,48.0,48.0,3258707
NORMANDIE,2015-02-15 03:00:00,2015,46,03:00:00,46.12,345.0,9045.0,19.0,0.0,17.0,65.0,0.0,-5823.0,0.0,0.0,761.0,181.0,10640.0,9310.0,510.0,214.0,24.0,24.0,92.0,92.0,3339131
AUVERGNE RHONE ALPES,2013-06-29 07:00:00,2013,180,07:00:00,180.29,50.0,7434.0,100.0,3.0,3150.0,72.0,-1543.0,-4048.0,0.0,0.0,919.0,919.0,13570.0,13570.0,335.0,720.0,11116.0,11116.0,106.0,106.0,7757595
BRETAGNE,2020-07-31 21:00:00,2020,213,21:00:00,213.88,272.0,0.0,83.0,5.0,0.0,53.0,0.0,1587.0,0.0,0.0,978.0,978.0,0.0,0.0,1028.0,286.0,272.0,272.0,80.0,80.0,3373835
NOUVELLE AQUITAINE,2022-11-17 15:00:00,2022,321,15:00:00,321.62,165.0,2697.0,815.0,585.0,51.0,173.0,0.0,188.0,0.0,0.0,581.0,581.0,6630.0,5658.0,1592.0,3853.0,1786.0,1786.0,356.0,356.0,6098051
BOURGOGNE FRANCHE COMTE,2013-03-06 03:30:00,2013,65,03:30:00,65.15,163.0,0.0,50.0,0.0,64.0,14.0,0.0,2352.0,0.0,0.0,301.0,56.0,0.0,0.0,204.0,227.0,480.0,480.0,24.0,24.0,2819783
PAYS DE LA LOIRE,2019-01-26 11:30:00,2019,26,11:30:00,26.48,592.0,0.0,251.0,81.0,5.0,49.0,0.0,2765.0,0.0,0.0,2034.0,1620.0,0.0,0.0,897.0,561.0,8.0,8.0,70.0,70.0,3806461
NORMANDIE,2020-01-25 04:30:00,2020,25,04:30:00,25.19,426.0,6464.0,41.0,0.0,16.0,59.0,0.0,-3011.0,0.0,0.0,833.0,833.0,10640.0,9310.0,806.0,262.0,31.0,31.0,109.0,109.0,3325522
